    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    4000         23440    13.8818   1.000E+00   0.0484   0.0115   9.897E-18   1.91636186E+00   1.96643401E+00
    4050         23490    15.4250   1.000E+00   0.0476   0.0115   8.597E-18   1.91674750E+00   1.97035078E+00
    4100         23540    14.7198   1.000E+00   0.0470   0.0121   9.227E-18   1.91713061E+00   1.97406937E+00
    4150         23590    14.2215   1.000E+00   0.0471   0.0119   9.189E-18   1.91750766E+00   1.97781164E+00
    4200         23640    15.2928   1.000E+00   0.0470   0.0119   1.191E-17   1.91787724E+00   1.98172614E+00
    4250         23690    14.0182   1.000E+00   0.0476   0.0112   9.639E-18   1.91823998E+00   1.98579708E+00
    4300         23740    14.5218   1.000E+00   0.0487   0.0111   1.091E-17   1.91859768E+00   1.98988060E+00
    4350         23790    13.7192   1.000E+00   0.0487   0.0117   1.275E-17   1.91895220E+00   1.99382539E+00
    4400         23840    12.7401   1.000E+00   0.0476   0.0117   8.587E-18   1.91930526E+00   1.99758120E+00
    4450         23890    13.2245   1.000E+00   0.0484   0.0116   9.549E-18   1.91965853E+00   2.00103616E+00
    4500         23940    12.0377   1.000E+00   0.0493   0.0121   1.267E-17   1.92001374E+00   2.00403345E+00
    4550         23990    11.9851   1.000E+00   0.0489   0.0130   1.059E-17   1.92037194E+00   2.00610615E+00
    4600         24040    13.8628   1.000E+00   0.0497   0.0129   1.351E-17   1.92073361E+00   2.00680465E+00
    4650         24090    19.3143   1.000E+00   0.0500   0.0124   1.149E-17   1.92109877E+00   2.00600588E+00
    4700         24140    14.8485   1.000E+00   0.0506   0.0124   1.033E-17   1.92146692E+00   2.00397173E+00
    4750         24190    15.5246   1.000E+00   0.0512   0.0118   9.193E-18   1.92183764E+00   2.00130853E+00
    4800         24240    12.5827   1.000E+00   0.0508   0.0114   1.039E-17   1.92221064E+00   1.99854091E+00
    4850         24290    13.9715   1.000E+00   0.0523   0.0114   9.444E-18   1.92258630E+00   1.99606318E+00
    4900         24340    15.4045   1.000E+00   0.0493   0.0112   8.960E-18   1.92296513E+00   1.99394659E+00
    4950         24390    16.1219   1.000E+00   0.0519   0.0115   8.383E-18   1.92334687E+00   1.99204106E+00
    5000         24440    14.7759   1.000E+00   0.0490   0.0110   8.914E-18   1.92372995E+00   1.99027371E+00
    5050         24490    14.7125   1.000E+00   0.0496   0.0118   9.753E-18   1.92411139E+00   1.98869396E+00
    5100         24540    14.2503   1.000E+00   0.0488   0.0110   1.098E-17   1.92448765E+00   1.98746663E+00
    5150         24590    16.7333   1.000E+00   0.0511   0.0115   9.795E-18   1.92485546E+00   1.98676574E+00
    5200         24640    17.7151   1.000E+00   0.0501   0.0109   1.048E-17   1.92521282E+00   1.98660341E+00
    5250         24690    15.4939   1.000E+00   0.0504   0.0111   9.472E-18   1.92555953E+00   1.98688778E+00
    5300         24740    18.8551   1.000E+00   0.0498   0.0117   1.063E-17   1.92589683E+00   1.98737519E+00
    5350         24790    16.2756   1.000E+00   0.0485   0.0125   1.158E-17   1.92622677E+00   1.98770328E+00
    5400         24840    14.5865   1.000E+00   0.0484   0.0124   9.012E-18   1.92655203E+00   1.98764413E+00
    5450         24890    14.8370   1.000E+00   0.0469   0.0115   1.003E-17   1.92687583E+00   1.98722083E+00
    5500         24940    17.5982   1.000E+00   0.0481   0.0112   9.874E-18   1.92720185E+00   1.98673134E+00
    5550         24990    15.6219   1.000E+00   0.0465   0.0105   9.729E-18   1.92753399E+00   1.98671131E+00
    5600         25040    17.7507   1.000E+00   0.0485   0.0104   9.845E-18   1.92787613E+00   1.98757378E+00
    5650         25090    17.3150   1.000E+00   0.0477   0.0110   9.517E-18   1.92823182E+00   1.98938463E+00
    5700         25140    17.1039   1.000E+00   0.0472   0.0110   1.057E-17   1.92860359E+00   1.99190192E+00
    5750         25190    13.6580   1.000E+00   0.0474   0.0109   9.865E-18   1.92899271E+00   1.99473679E+00
    5800         25240    20.1640   1.000E+00   0.0479   0.0113   9.724E-18   1.92939945E+00   1.99755308E+00
    5850         25290    17.0039   1.000E+00   0.0485   0.0113   9.950E-18   1.92982301E+00   2.00032761E+00
    5900         25340    13.9548   1.000E+00   0.0475   0.0129   1.068E-17   1.93026153E+00   2.00325431E+00
    5950         25390    14.4962   1.000E+00   0.0475   0.0119   9.418E-18   1.93071209E+00   2.00657781E+00
    6000         25440    18.0165   1.000E+00   0.0489   0.0127   1.124E-17   1.93117110E+00   2.01040864E+00
    6050         25490    14.1922   1.000E+00   0.0500   0.0123   1.093E-17   1.93163494E+00   2.01462078E+00
    6100         25540    14.5960   1.000E+00   0.0516   0.0121   1.131E-17   1.93210103E+00   2.01898111E+00
    6150         25590    17.8002   1.000E+00   0.0536   0.0127   8.919E-18   1.93256791E+00   2.02333304E+00
    6200         25640    23.7437   1.000E+00   0.0557   0.0125   1.216E-17   1.93303506E+00   2.02768149E+00
    6250         25690    13.9810   1.000E+00   0.0566   0.0129   1.006E-17   1.93350246E+00   2.03206869E+00
    6300         25740    15.0950   1.000E+00   0.0592   0.0138   9.826E-18   1.93397037E+00   2.03661445E+00
    6350         25790    14.4150   1.000E+00   0.0592   0.0129   1.154E-17   1.93443942E+00   2.04147318E+00
    6400         25840    15.5480   1.000E+00   0.0582   0.0134   1.054E-17   1.93491151E+00   2.04667917E+00
    6450         25890    14.6144   1.000E+00   0.0567   0.0135   1.055E-17   1.93538889E+00   2.05202908E+00
    6500         25940    15.6014   1.000E+00   0.0545   0.0118   9.491E-18   1.93587278E+00   2.05734543E+00
    6550         25990    15.0568   1.000E+00   0.0533   0.0124   1.482E-17   1.93636358E+00   2.06235368E+00
    6600         26040    15.2428   1.000E+00   0.0504   0.0118   1.706E-17   1.93686134E+00   2.06702707E+00
    6650         26090    14.5639   1.000E+00   0.0509   0.0112   1.109E-17   1.93736699E+00   2.07134483E+00
    6700         26140    15.6130   1.000E+00   0.0515   0.0120   1.037E-17   1.93788309E+00   2.07525924E+00
    6750         26190    16.4471   1.000E+00   0.0495   0.0127   1.116E-17   1.93841401E+00   2.07851603E+00
    6800         26240    14.6155   1.000E+00   0.0507   0.0129   9.689E-18   1.93896502E+00   2.08075302E+00
    6850         26290    14.4807   1.000E+00   0.0518   0.0135   1.467E-17   1.93954099E+00   2.08183675E+00
    6900         26340    15.3814   1.000E+00   0.0534   0.0150   1.498E-17   1.94014536E+00   2.08183721E+00
    6950         26390    16.1595   1.000E+00   0.0526   0.0146   1.015E-17   1.94077865E+00   2.08086197E+00
    7000         26440    16.0072   1.000E+00   0.0529   0.0129   9.975E-18   1.94143758E+00   2.07925289E+00
    7050         26490    14.1515   1.000E+00   0.0529   0.0134   9.552E-18   1.94211641E+00   2.07741978E+00
    7100         26540    13.1479   1.000E+00   0.0516   0.0135   1.076E-17   1.94280878E+00   2.07570922E+00
    7150         26590    13.5139   1.000E+00   0.0516   0.0131   1.072E-17   1.94350856E+00   2.07441152E+00
    7200         26640    13.6106   1.000E+00   0.0497   0.0126   9.346E-18   1.94421032E+00   2.07356438E+00
    7250         26690    14.1407   1.000E+00   0.0501   0.0124   1.007E-17   1.94490914E+00   2.07308931E+00
    7300         26740    18.6603   1.000E+00   0.0493   0.0123   1.130E-17   1.94560017E+00   2.07287388E+00
    7350         26790    21.4771   1.000E+00   0.0509   0.0117   1.084E-17   1.94627920E+00   2.07290871E+00
    7400         26840    23.0364   1.000E+00   0.0527   0.0114   1.149E-17   1.94694285E+00   2.07336966E+00
    7450         26890    23.3860   1.000E+00   0.0555   0.0122   1.064E-17   1.94758864E+00   2.07434232E+00
    7500         26940    17.7015   1.000E+00   0.0549   0.0120   1.029E-17   1.94821515E+00   2.07573625E+00
    7550         26990    21.7010   1.000E+00   0.0538   0.0128   1.050E-17   1.94882205E+00   2.07720763E+00
    7600         27040    17.8326   1.000E+00   0.0529   0.0128   9.812E-18   1.94941041E+00   2.07831430E+00
    7650         27090    18.3336   1.000E+00   0.0524   0.0124   1.104E-17   1.94998220E+00   2.07863021E+00
    7700         27140    23.0492   1.000E+00   0.0518   0.0120   9.477E-18   1.95053936E+00   2.07796043E+00
    7750         27190    19.9616   1.000E+00   0.0530   0.0127   9.404E-18   1.95108300E+00   2.07646592E+00
    7800         27240    21.1049   1.000E+00   0.0543   0.0131   1.101E-17   1.95161258E+00   2.07457879E+00
    7850         27290    22.3389   1.000E+00   0.0558   0.0127   1.587E-17   1.95212618E+00   2.07290479E+00
    7900         27340    23.0514   1.000E+00   0.0572   0.0117   1.279E-17   1.95262047E+00   2.07184775E+00
    7950         27390    18.1123   1.000E+00   0.0576   0.0124   1.068E-17   1.95309158E+00   2.07159395E+00
