ALT	PRESS	TEMP	RH	SPEED	DIR	POTT	VIRPOT	Ri
1677	832.87	27.51	20.17	5.7	228.5946912	316.8039359	317.6987288	
1678	832.72	27.485	20.15	5.75	224.8251159	316.7939115	317.6867478	-0.130776071
1679	832.6	27.43	20.14	5.8	221.7946912	316.7490112	317.6387598	-0.585870419
1680	832.51	27.43	20.15	5.8	223.7946912	316.7588043	317.6491219	
1681	832.47	27.39	20.13	5.8	221.0946912	316.7210036	317.6084527	
1682	832.34	27.43	20.14	5.8	223.1946912	316.7773059	317.6674222	
1683	832.29	27.34	20.13	5.8	220.5946912	316.6878971	317.5730537	
1684	832.15	27.36	20.13	5.75	221.3486043	316.7242132	317.6105847	0.473971273
1685	832.06	27.425	20.14	5.8	221.8946912	316.80252	317.6927767	1.021783726
1687	831.85	27.3	20.13	5.7	220.9946912	316.6936332	317.5773754	-0.710698268
1690	831.6	27.26	20.11	5.7	224.1946912	316.678693	317.5598799	
1691	831.55	27.26	20.12	5.9	224.5946912	316.6841387	317.565834	0.004443601
1692	831.415	27.29	20.1225	5.9	223.581552	316.7304708	317.6139872	1.9168E+27
1693	831.31	27.28666667	20.11666667	5.766666667	224.0646159	316.7383975	317.621636	0.014551576
1695	831.11	27.22	20.1	6.1	226.1946912	316.6899061	317.5693171	-0.028492612
1699	830.75	27.13	20.1	6	226.6946912	316.6342477	317.5096203	-0.726970217
1701	830.53	27.26	20.11	6.2	225.7946912	316.7953239	317.6780126	0.262868892
1702	830.48	27.21	20.09	5.5	229.1946912	316.7480506	317.6274002	-0.003149415
1703	830.36	27.22	20.08	5.8	226.6946912	316.7716876	317.6512731	0.008573263
1704	830.28	27.21	20.1	5.6	228.7946912	316.7698703	317.6499379	-0.001483153
1705	830.21	27.17	20.09	5.5	230.1946912	316.7353224	317.613029	-0.112795025
1706	830.08	27.13	20.06	5.3	231.3946912	316.7073202	317.5818833	-0.022859043
1708	829.8975	27.12	20.0575	5.475	229.8549596	316.71669	317.5908954	0.019981507
1710	829.75	27.09	20.06	5.3	230.7946912	316.7011459	317.5741578	-0.033151604
1711	829.61	27.09	20.055	5.3	231.2446912	316.7164301	317.5894192	
1714	829.35	27.09	20.03	5.3	232.1946912	316.7448239	317.6170861	
1715	829.21	27.03	20.025	5.25	232.1985008	316.6968162	317.5660492	-0.627250362
1716	829.12	27.07	20.03	5.35	231.9488969	316.7488499	317.6204286	0.169940579
1718	828.94	27.05	20.02	5.3	231.8946912	316.7474172	317.6178085	-0.037437521
1719	828.85	27.09	20.01	5.2	231.6946912	316.7994596	317.671546	0.169957693
1720	828.76	26.96	20.01	5.2	230.9946912	316.6721242	317.5378345	
1721	828.6933333	26.97666667	20	5.333333333	230.640323	316.6969968	317.5631972	0.045707977
1723	828.49	26.96	19.98	5.4	229.5946912	316.7016364	317.5664212	0.068212124
1724	828.36	26.96	20	5.4	230.5946912	316.7158504	317.5816805	
1725	828.31	26.92	20	5.4	229.4946912	316.6791041	317.5430113	
1728	828.05	26.92	19.975	5.35	228.9451585	316.7075391	317.5707246	1.114973904
